workout_id,name,category,level,description,media_url,equipment
1,Barbell Bench Press,chest,Intermediate,"1. Lie flat on the bench so that your head, upper back, lower back, and both feet are firmly pressed against the bench and ground at all points.
2. Grab the barbell on the rack at slightly wider than shoulder-width by extending your arms and bring it forward until it is over the middle of your chest and your arms are fully extended.
3. Inhale and lower the barbell towards the middle of your chest.
4. Continue lowering the barbell until just before it makes contact with your chest.
5. Exhale and push the barbell upwards returning to the starting position, while keeping your feet, lower back, upper back, and head firmly planted.
6. After all reps are completed, return the barbell to the rack.",https://app.fitnessai.com/exercises/00251201-Barbell-Bench-Press-Chest.mp4,Barbell
2,Incline Dumbbell Bench Press,chest,Intermediate,"1. Lie flat on the bench so that your head, upper back, lower back, and both feet are firmly pressed against the bench and ground at all points while holding two dumbbells at shoulder level with an overhand grip.
2. Exhale and press through both hands to raise the dumbbells up and towards each other.
3. Continue until your arms are fully extended.
4. Inhale and lower your arms, returning to the starting position.",https://app.fitnessai.com/exercises/03141201-Dumbbell-Incline-Bench-Press-Chest.mp4,Dumbbell
4,Push-up,chest,Beginner,"1. Position yourself prone on the ground with your legs fully extended and hands positioned at the level of your chest slightly wider than shoulder-width apart.
2. Exhale and press yourself up by extending your arms while keeping your hips up and torso straight.
3. Continue until your arms are fully extended and straight.
4. Inhale and lower yourself down until just before your chest touches the floor, returning to the starting position.",https://app.fitnessai.com/exercises/06621201-Push-up-m-Chest.mp4,Body Only
5,"Chest Fly Machine
",chest,Beginner,"1. Sit on the machine with arms fully extended in line with your torso at the level of the middle of your chest.
2. Exhale and bring your arms together while keeping them straight.
3. Continue bringing your arms together until your hands are about 1 inch from each other.
4. Inhale and bring your arms back to your sides, returning to the starting position.",https://app.fitnessai.com/exercises/05961201-Lever-Seated-Fly-Chest.mp4,Machine
6,Cable Chest Fly,chest,Intermediate,"1. Stand between two cables positioned slightly above shoulder level, gripping them with your palms facing forward.
2. Exhale and bring your arms forward and down, keeping them straight.
3. Continue until just before your hands would touch.
4. Inhale and allow your arms to raise to your sides, returning to the starting position.",https://app.fitnessai.com/exercises/12691201-Cable-Standing-Up-Straight-Crossovers-Chest.mp4,Cable
7,Diamond Push-up,chest,Intermediate,"1. Position yourself on the ground with legs fully extended and hands in a diamond position at the level of your chest.
2. Exhale and forcefully press yourself up by extending your arms.
3. Continue pressing up until your arms are fully extended, preventing your hips from sagging.
4. Inhale and lower yourself to the ground, returning to the starting position.",https://app.fitnessai.com/exercises/02831201-Diamond-Push-up-Upper-Arms.mp4,Body Only
8,Incline Push-up,chest,Beginner,"Place hands on a higher surface (chair, table). Easier than a regular push-up, suitable for beginners building foundational strength.",,Body Only
9,Decline Push-up,chest,Intermediate,"1. Position your hands on the ground at shoulder level, slightly wider than shoulder-width apart, and press your feet up against a wall with straight legs to hold yourself in place.
2. While maintaining a straight torso, exhale and allow your arms to extend, raising yourself up.
3. Continue until your arms are fully extended.
4. Inhale and lower yourself to the ground until just before your chest makes contact with the ground, continuing to maintain a rigid torso and returning to the starting position.",https://app.fitnessai.com/exercises/34911201-Decline-Push-Up-against-Wall-Chest.mp4,Body Only
10,Archer Push-up,chest,Advanced,"1. Bend your elbows and lower your chest towards the ground.
2. Stop when your chest is just above the ground.
3. Push yourself back up to the starting position. 
4. Do the same motion with your left foot crossed behind your right ankle.",https://d2m0n84d5tgmh1.cloudfront.net/training-videos-watermarked/2033.mp4,Body Only
11,Overhead Press,shoulders,Intermediate,"1. Standing upright, position yourself under the barbell so that you may grab it slightly wider than shoulder-width apart with your palms facing away from you.
2. Remove the barbell from the rack and take a step backward.
3. Exhale and raise your arms up overhead, pushing up in a straight line, without hitting your chin.
4. Continue raising your arms up overhead until they are fully extended with the barbell directly overhead.
5. Inhale and lower the barbell, returning to the starting position.
6. After all reps are completed, return the barbell to the rack.",https://app.fitnessai.com/exercises/11651201-Barbell-Standing-Military-Press-without-rack-Shoulders.mp4,Barbell
